|ccyy|cname|year|dhi_mean|hmc_mean |
|ee00|Estonia|2000|66817.52|66233.09 |
|fr78|France|1978|60358.41|59624.06 |
|fr84|France|1984|107087.4|125971 |
|fr89|France|1989|124545.9|153870.3 |
|fr00|France|2000|169264.7|142340.8 |
|fr05|France|2005|29090.14|23170.83 |
|fr10|France|2010|34296.4|25821.89 |
|it95|Italy|1995|3.60e+07|2.26e+07 |
|it98|Italy|1998|4.05e+07|2.26e+07 |
|it00|Italy|2000|4.24e+07|2.45e+07 |
|it04|Italy|2004|24247|14664.2 |
|it08|Italy|2008|26451.21|15648.24 |
|it10|Italy|2010|26300.24|16312.61 |
|mx08|Mexico|2008|127451.2|82092.54 |
|mx10|Mexico|2010|118997.6|92328.99 |
|mx12|Mexico|2012|134662.2|98109.5 |
|pl07|Poland|2007|31203.87|25082.47 |
|pl10|Poland|2010|40482.04|31008.45 |
|pl13|Poland|2013|43981.55|33229.44 |
|si97|Slovenia|1997|2236180|2431874 |
|si99|Slovenia|1999|2574104|2551191 |
|si04|Slovenia|2004|3772136|3502491 |
|si07|Slovenia|2007|18116.75|15908.26 |
|si10|Slovenia|2010|20260.85|17420.41 |
|si12|Slovenia|2012|21577.11|17084.65 |
|za08|South Africa|2008|61157.13|51932.85 |
|za10|South Africa|2010|82645.9|47856.03 |
|za12|South Africa|2012|78898.76|50638.87 |
|ch00|Switzerland|2000|73242.7|52231.94 |
|ch02|Switzerland|2002|76509.67|52511.85 |
|ch04|Switzerland|2004|73075.19|53449.52 |
|uk95|United Kingdom|1995|15573.38|15174.55 |
